MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Lot Config,Land Slope,Neighborhood,Condition 1,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Exterior 1st,Exterior 2nd,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,BsmtFin Type 1,Total Bsmt SF,Heating QC,Central Air,Electrical,Gr Liv Area,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Fireplaces,Garage Type,Garage Cars,Garage Area,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,SalePrice
70,RM,34.0,4571,Pave,Grvl,Reg,Lvl,Inside,Gtl,OldTown,Norm,1Fam,2Story,5,5,1916,1950,Gable,AsbShng,AsbShng,TA,TA,BrkTil,TA,TA,Unf,624.0,Fa,N,SBrkr,1344,1,0,4,1,TA,7,0,Detchd,3.0,513.0,0,0,96,0,0,no_fence,none,0,5,2008,COD,98000
20,RL,80.0,8816,Pave,no_alley,Reg,Lvl,Corner,Gtl,Sawyer,Feedr,1Fam,1Story,5,6,1963,1963,Gable,VinylSd,VinylSd,TA,TA,PConc,TA,TA,Rec,1121.0,TA,Y,SBrkr,1121,1,0,3,1,TA,5,0,Detchd,2.0,480.0,0,80,0,0,0,MnPrv,none,0,6,2009,WD ,139000
20,RL,71.0,8197,Pave,no_alley,Reg,Lvl,Inside,Gtl,Sawyer,Norm,1Fam,1Story,6,5,1977,1977,Gable,Plywood,Plywood,TA,TA,CBlock,TA,TA,Unf,660.0,Ex,Y,SBrkr,1285,1,1,3,1,TA,7,1,Attchd,2.0,528.0,138,0,0,0,0,MnPrv,none,0,4,2007,WD ,143500
60,FV,72.0,8640,Pave,no_alley,Reg,Lvl,Inside,Gtl,Somerst,Norm,1Fam,2Story,7,5,2009,2009,Gable,VinylSd,VinylSd,TA,TA,PConc,Gd,TA,GLQ,756.0,Ex,Y,SBrkr,1547,2,1,3,1,Gd,7,0,Attchd,2.0,614.0,169,45,0,0,0,no_fence,none,0,6,2010,Con,215200
20,RL,109.0,8724,Pave,no_alley,Reg,Lvl,Inside,Gtl,Sawyer,Norm,1Fam,1Story,5,5,1968,1968,Gable,VinylSd,VinylSd,TA,TA,CBlock,Gd,TA,BLQ,894.0,Gd,Y,SBrkr,894,1,0,3,1,TA,5,1,Attchd,2.0,450.0,0,0,0,0,0,no_fence,none,0,5,2007,WD ,129000
120,RL,40.0,5664,Pave,no_alley,IR1,Lvl,Inside,Gtl,StoneBr,Norm,TwnhsE,1Story,8,5,2000,2000,Gable,CemntBd,CmentBd,Gd,TA,PConc,Gd,TA,GLQ,1501.0,Ex,Y,SBrkr,1659,2,0,2,1,Ex,5,1,Attchd,2.0,499.0,212,59,0,0,0,no_fence,none,0,10,2009,WD ,278000
60,RL,103.0,12867,Pave,no_alley,IR1,Lvl,Corner,Gtl,NridgHt,Norm,1Fam,2Story,8,5,2005,2006,Gable,CemntBd,CmentBd,Gd,TA,PConc,Ex,TA,Unf,1209.0,Ex,Y,SBrkr,2253,2,1,3,1,Ex,8,1,Attchd,2.0,575.0,243,142,0,0,0,no_fence,none,0,7,2006,New,344133
20,RL,0.0,7980,Pave,no_alley,IR1,Lvl,Inside,Gtl,Gilbert,Norm,1Fam,1Story,6,7,1992,2007,Gable,HdBoard,HdBoard,TA,Gd,PConc,Gd,TA,ALQ,1168.0,Ex,Y,SBrkr,1187,2,0,3,1,TA,6,0,Attchd,2.0,420.0,483,21,0,0,0,GdPrv,Shed,500,3,2010,WD ,185000
190,RL,100.0,34650,Pave,no_alley,Reg,Bnk,Inside,Gtl,Gilbert,Norm,2fmCon,1Story,5,5,1955,1955,Hip,Wd Sdng,Wd Sdng,TA,TA,CBlock,TA,TA,Rec,1056.0,TA,N,SBrkr,1056,1,0,3,1,TA,5,0,Attchd,2.0,572.0,264,0,0,0,0,no_fence,none,0,1,2006,WD ,145000
20,RL,92.0,10573,Pave,no_alley,IR1,Lvl,Corner,Gtl,NAmes,Norm,1Fam,1Story,6,6,1961,1961,Hip,MetalSd,MetalSd,TA,TA,CBlock,TA,TA,Rec,1453.0,Ex,Y,SBrkr,1453,2,0,3,1,TA,6,1,Attchd,2.0,530.0,0,49,0,0,288,GdPrv,none,0,4,2009,WD ,187500
20,RL,65.0,8450,Pave,no_alley,Reg,Lvl,Inside,Gtl,Sawyer,RRAe,1Fam,1Story,5,8,1965,2009,Gable,MetalSd,MetalSd,TA,Gd,CBlock,TA,TA,GLQ,894.0,Ex,Y,SBrkr,894,1,0,3,1,TA,5,1,Detchd,1.0,336.0,416,144,0,0,0,MnPrv,none,0,4,2010,WD ,138500
50,RL,0.0,11700,Pave,Grvl,IR1,HLS,Inside,Mod,Crawfor,Norm,1Fam,1.5Fin,5,6,1937,1995,Gable,WdShing,Wd Shng,TA,TA,CBlock,TA,TA,BLQ,942.0,Ex,Y,SBrkr,1938,2,0,4,1,Gd,7,1,Detchd,1.0,240.0,0,40,0,0,0,no_fence,none,0,7,2008,WD ,198000
190,C (all),75.0,8250,Pave,no_alley,Reg,Lvl,Inside,Gtl,IDOTRR,Feedr,2fmCon,2Story,5,6,1895,2006,Gable,VinylSd,VinylSd,TA,Gd,CBlock,TA,TA,Unf,957.0,Fa,N,SBrkr,1991,2,0,4,2,TA,9,0,no_garage,0.0,0.0,0,0,133,0,0,no_fence,none,0,6,2007,WD ,119600
50,RL,60.0,8064,Pave,no_alley,Reg,Lvl,Corner,Gtl,NAmes,Artery,1Fam,1.5Fin,5,7,1949,2006,Gable,MetalSd,MetalSd,TA,Gd,CBlock,TA,TA,Unf,672.0,Ex,Y,SBrkr,924,1,0,3,1,TA,6,1,Detchd,2.0,576.0,0,0,0,0,0,MnPrv,Shed,2000,7,2007,WD ,122900
20,RL,80.0,9600,Pave,no_alley,Reg,Lvl,Inside,Gtl,NWAmes,PosN,1Fam,1Story,8,5,1981,1981,Hip,BrkFace,BrkFace,Gd,TA,PConc,Gd,TA,ALQ,2524.0,TA,Y,SBrkr,2524,2,1,4,1,Gd,9,1,Attchd,2.0,542.0,474,120,0,0,0,MnPrv,none,0,7,2009,WD ,278000
70,RL,0.0,11435,Pave,no_alley,IR1,HLS,Corner,Mod,Crawfor,Norm,1Fam,2Story,8,7,1929,1950,Gable,BrkFace,Stucco,TA,TA,PConc,Gd,TA,Unf,792.0,Fa,Y,SBrkr,1517,1,0,3,1,Gd,7,2,Detchd,2.0,400.0,0,0,0,0,0,no_fence,none,0,6,2006,WD ,230000
120,RL,30.0,9549,Pave,no_alley,IR1,Lvl,CulDSac,Gtl,Veenker,Norm,TwnhsE,1Story,8,5,1995,1996,Hip,BrkFace,BrkFace,Gd,Gd,PConc,Gd,Gd,LwQ,1494.0,Ex,Y,SBrkr,1494,1,1,2,1,Ex,6,1,Attchd,2.0,481.0,0,30,0,0,216,no_fence,none,0,4,2006,WD ,270000
20,RL,60.0,10950,Pave,no_alley,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,6,6,1952,1952,Hip,Wd Sdng,Wd Sdng,TA,TA,CBlock,TA,TA,ALQ,948.0,TA,Y,SBrkr,948,1,0,2,1,TA,5,0,Detchd,2.0,410.0,0,48,0,0,0,no_fence,none,0,4,2007,WD ,125000
20,RL,79.0,10637,Pave,no_alley,Reg,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,1Story,8,5,2007,2008,Hip,VinylSd,VinylSd,Gd,TA,PConc,Ex,TA,GLQ,1705.0,Ex,Y,SBrkr,1718,2,0,3,1,Gd,7,1,Attchd,3.0,826.0,208,44,0,0,0,no_fence,none,0,9,2009,WD ,297000
20,RL,80.0,9000,Pave,no_alley,IR1,HLS,Inside,Mod,NAmes,Norm,1Fam,1Story,6,6,1958,1958,Flat,Wd Sdng,Wd Sdng,TA,TA,CBlock,Gd,TA,Unf,160.0,Fa,Y,SBrkr,1142,1,0,2,1,TA,5,1,Basment,1.0,384.0,0,28,64,0,0,no_fence,none,0,4,2009,WD ,113500
160,RM,41.0,2665,Pave,no_alley,Reg,Lvl,Inside,Gtl,MeadowV,Norm,TwnhsE,2Story,5,6,1977,1977,Gable,CemntBd,CmentBd,TA,TA,PConc,TA,TA,ALQ,757.0,Ex,Y,SBrkr,1475,2,0,4,1,TA,6,1,Attchd,1.0,336.0,104,26,0,0,0,no_fence,none,0,7,2006,WD ,127000
20,RL,105.0,11751,Pave,no_alley,IR1,Lvl,Inside,Gtl,NWAmes,Norm,1Fam,1Story,6,6,1977,1977,Hip,Plywood,Plywood,TA,TA,CBlock,Gd,TA,BLQ,1844.0,Ex,Y,SBrkr,1844,2,0,3,1,TA,7,1,Attchd,2.0,546.0,0,122,0,0,0,MnPrv,none,0,1,2010,COD,190000
20,RL,80.0,9600,Pave,no_alley,Reg,Lvl,Inside,Gtl,NWAmes,Norm,1Fam,1Story,7,6,1973,1973,Hip,HdBoard,HdBoard,TA,TA,CBlock,TA,TA,ALQ,1242.0,Fa,Y,SBrkr,1242,1,1,3,1,TA,6,1,Attchd,2.0,528.0,0,0,0,0,0,no_fence,none,0,9,2007,WD ,175500
20,RL,60.0,8428,Pave,no_alley,IR2,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,1Story,5,7,1994,1994,Gable,VinylSd,VinylSd,TA,Gd,PConc,Gd,Gd,GLQ,990.0,Ex,Y,SBrkr,990,1,0,3,1,TA,5,0,Detchd,1.0,384.0,256,0,0,0,0,no_fence,none,0,7,2007,WD ,146000
20,RL,75.0,9937,Pave,no_alley,Reg,Lvl,Inside,Gtl,Edwards,Norm,1Fam,1Story,5,6,1965,1965,Gable,HdBoard,HdBoard,Gd,TA,CBlock,TA,TA,BLQ,1256.0,Gd,Y,SBrkr,1256,1,1,3,1,TA,6,0,Attchd,1.0,276.0,736,68,0,0,0,no_fence,none,0,6,2008,WD ,147500
20,RL,107.0,13891,Pave,no_alley,Reg,Lvl,Inside,Gtl,NridgHt,Norm,1Fam,1Story,10,5,2006,2006,Gable,VinylSd,VinylSd,Ex,TA,PConc,Ex,Gd,GLQ,2076.0,Ex,Y,SBrkr,2076,2,1,2,1,Ex,7,1,Attchd,3.0,850.0,216,229,0,0,0,no_fence,none,0,9,2006,New,465000
85,RL,0.0,9101,Pave,no_alley,IR1,Lvl,Corner,Gtl,Mitchel,Norm,1Fam,SFoyer,5,6,1978,1978,Gable,Plywood,Plywood,TA,Gd,PConc,Gd,TA,GLQ,1097.0,Ex,Y,SBrkr,1110,1,0,1,1,Gd,4,1,Attchd,2.0,602.0,303,30,0,0,0,no_fence,none,0,7,2009,WD ,165500
50,RM,81.0,12150,Pave,Grvl,Reg,Lvl,Inside,Gtl,OldTown,Norm,1Fam,1.5Fin,5,5,1954,1954,Gable,MetalSd,MetalSd,TA,TA,BrkTil,TA,TA,Unf,1050.0,Ex,N,FuseF,1795,2,0,4,1,TA,7,0,Attchd,1.0,352.0,0,0,0,0,0,no_fence,none,0,11,2008,WD ,131500
20,RL,70.0,11200,Pave,no_alley,Reg,Lvl,Inside,Gtl,Sawyer,Norm,1Fam,1Story,5,5,1965,1965,Hip,HdBoard,HdBoard,TA,TA,CBlock,TA,TA,Rec,1040.0,Ex,Y,SBrkr,1040,1,0,3,1,TA,5,0,Detchd,1.0,384.0,0,0,0,0,0,no_fence,none,0,2,2008,WD ,129500
70,RL,100.0,9670,Pave,no_alley,IR1,HLS,Inside,Mod,Crawfor,Norm,1Fam,2Story,8,6,1935,1950,Gable,BrkFace,Stucco,TA,TA,PConc,TA,Fa,LwQ,608.0,TA,Y,SBrkr,1873,1,1,4,1,TA,9,2,Detchd,2.0,786.0,0,0,207,0,0,no_fence,none,0,6,2008,WD ,257076
50,RL,60.0,10998,Pave,Grvl,Reg,Lvl,Inside,Gtl,Edwards,Norm,1Fam,1.5Fin,5,5,1941,1960,Gable,Wd Sdng,Wd Sdng,TA,TA,CBlock,TA,TA,LwQ,984.0,Ex,Y,SBrkr,1604,2,0,3,1,TA,6,0,Detchd,2.0,660.0,0,68,0,0,0,no_fence,none,0,7,2009,WD ,117000
70,RL,60.0,7200,Pave,no_alley,Reg,HLS,Inside,Mod,Crawfor,Norm,1Fam,2Story,7,6,1931,2000,Gable,Stucco,Wd Shng,TA,Fa,BrkTil,Gd,TA,Unf,776.0,TA,Y,SBrkr,1502,1,1,3,1,TA,6,1,Attchd,1.0,270.0,0,0,112,0,0,MnPrv,none,0,2,2008,WD ,149000
20,RL,80.0,9920,Pave,no_alley,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,5,5,1954,1954,Gable,HdBoard,HdBoard,TA,TA,CBlock,TA,TA,Rec,1056.0,TA,Y,SBrkr,1063,1,0,3,1,TA,6,0,Attchd,1.0,280.0,0,0,164,0,0,MnPrv,none,0,2,2010,WD ,128000
160,RL,36.0,2448,Pave,no_alley,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Twnhs,2Story,7,5,2003,2004,Gable,VinylSd,Wd Shng,Gd,TA,PConc,Gd,TA,Unf,764.0,Ex,Y,SBrkr,1626,2,1,2,1,Gd,6,0,BuiltIn,2.0,474.0,0,27,0,0,0,no_fence,none,0,10,2008,WD ,155000
160,FV,0.0,2998,Pave,no_alley,Reg,Lvl,Inside,Gtl,Somerst,Norm,TwnhsE,2Story,6,5,2000,2000,Gable,MetalSd,MetalSd,Gd,TA,PConc,Gd,TA,GLQ,756.0,Ex,Y,SBrkr,1524,2,1,2,1,Gd,4,0,Detchd,2.0,440.0,0,32,0,0,0,no_fence,none,0,6,2006,WD ,166000
50,RL,65.0,7804,Pave,no_alley,Reg,Lvl,Inside,Gtl,SWISU,Norm,1Fam,1.5Fin,4,3,1928,1950,Gable,WdShing,Plywood,TA,TA,BrkTil,TA,TA,BLQ,1122.0,TA,Y,SBrkr,1981,2,0,4,1,Gd,7,2,Detchd,2.0,576.0,431,44,0,0,0,MnPrv,none,0,12,2009,WD ,135000
60,RL,80.0,16692,Pave,no_alley,IR1,Lvl,Inside,Gtl,NWAmes,RRAn,1Fam,2Story,7,5,1978,1978,Gable,Plywood,Plywood,TA,TA,CBlock,Gd,TA,BLQ,1392.0,TA,Y,SBrkr,2784,3,1,5,1,Gd,12,2,Attchd,2.0,564.0,0,112,0,0,440,MnPrv,TenC,2000,7,2006,WD ,250000
160,RM,21.0,1476,Pave,no_alley,Reg,Lvl,Inside,Gtl,MeadowV,Norm,Twnhs,2Story,4,7,1970,1970,Gable,CemntBd,CmentBd,TA,TA,CBlock,TA,TA,GLQ,546.0,Ex,Y,SBrkr,1092,1,1,3,1,TA,5,0,no_garage,0.0,0.0,200,26,0,0,0,no_fence,none,0,3,2010,WD ,76000
20,RL,75.0,10170,Pave,no_alley,Reg,Lvl,Corner,Gtl,NAmes,Norm,1Fam,1Story,6,6,1951,1951,Hip,Wd Sdng,Wd Sdng,TA,TA,CBlock,TA,TA,Unf,216.0,TA,Y,SBrkr,1575,1,1,2,1,Gd,5,1,Attchd,2.0,400.0,0,0,0,0,0,no_fence,none,0,6,2006,WD ,155000
60,RL,80.0,9364,Pave,no_alley,Reg,Lvl,Corner,Gtl,Sawyer,Norm,1Fam,2Story,6,7,1969,1969,Gable,HdBoard,HdBoard,TA,TA,CBlock,TA,TA,ALQ,663.0,TA,Y,SBrkr,1352,1,1,4,1,TA,7,0,Attchd,1.0,299.0,379,36,0,0,0,MnPrv,none,0,3,2010,WD ,158000
160,FV,24.0,2544,Pave,Pave,Reg,Lvl,Inside,Gtl,Somerst,Norm,Twnhs,2Story,7,5,2004,2005,Gable,MetalSd,MetalSd,Gd,TA,PConc,Gd,TA,GLQ,600.0,Ex,Y,SBrkr,1200,2,1,2,1,Gd,4,0,Detchd,2.0,480.0,0,172,0,0,0,no_fence,none,0,2,2010,WD ,149500
20,RL,82.0,9888,Pave,no_alley,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,5,6,1954,1975,Gable,MetalSd,MetalSd,TA,Gd,CBlock,TA,TA,BLQ,936.0,TA,Y,FuseA,936,1,0,2,1,TA,5,0,Attchd,1.0,240.0,0,0,160,0,0,MnPrv,none,0,3,2006,WD ,121000
20,RL,68.0,7942,Pave,no_alley,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,6,7,1953,1953,Hip,Wd Sdng,Wd Sdng,TA,TA,CBlock,TA,TA,Rec,1040.0,TA,Y,FuseF,1040,1,0,3,1,TA,6,0,Attchd,1.0,293.0,0,0,0,0,0,MnPrv,none,0,6,2007,WD ,136000
60,RL,0.0,15038,Pave,no_alley,IR2,Lvl,Corner,Gtl,Gilbert,Norm,1Fam,2Story,6,5,1996,1996,Gable,HdBoard,HdBoard,TA,TA,PConc,Gd,TA,Rec,916.0,Gd,Y,SBrkr,1636,2,1,3,1,TA,7,1,Attchd,2.0,386.0,168,84,0,0,0,no_fence,none,0,11,2008,WD ,173000
60,RL,92.0,11764,Pave,no_alley,IR1,Lvl,CulDSac,Gtl,NoRidge,Norm,1Fam,2Story,8,7,1999,2007,Gable,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,GLQ,1152.0,Ex,Y,SBrkr,2270,2,1,4,1,Gd,9,1,Attchd,3.0,671.0,132,57,0,0,0,no_fence,none,0,4,2010,WD ,290000
60,FV,75.0,9000,Pave,no_alley,Reg,Lvl,Inside,Gtl,Somerst,Norm,1Fam,2Story,8,5,2007,2007,Gable,CemntBd,CmentBd,Gd,TA,PConc,Gd,TA,GLQ,1184.0,Ex,Y,SBrkr,2610,2,1,4,1,Ex,11,1,BuiltIn,2.0,550.0,208,364,0,0,0,no_fence,none,0,8,2007,New,303477
20,RL,0.0,20062,Pave,no_alley,IR1,Low,Inside,Mod,ClearCr,Norm,1Fam,1Story,7,7,1977,2001,Hip,Wd Sdng,Wd Sdng,Gd,Gd,CBlock,Gd,TA,ALQ,1420.0,Gd,Y,SBrkr,1483,1,1,1,1,TA,4,2,Attchd,2.0,690.0,496,0,0,0,0,no_fence,none,0,4,2010,WD ,270000
50,RM,81.0,7308,Pave,no_alley,Reg,Lvl,Corner,Gtl,OldTown,Artery,1Fam,1.5Fin,5,5,1920,1950,Gable,WdShing,Wd Shng,Fa,Fa,BrkTil,TA,TA,Rec,936.0,Gd,N,FuseA,1740,1,0,2,1,Ex,6,1,Detchd,1.0,225.0,0,0,236,0,0,no_fence,none,0,6,2008,WD ,122250
20,RL,70.0,8750,Pave,no_alley,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,5,5,1955,1955,Gable,AsbShng,AsbShng,TA,TA,CBlock,TA,TA,Rec,1382.0,Gd,Y,FuseA,1382,1,0,3,1,Gd,6,0,Attchd,1.0,350.0,280,0,0,0,0,GdWo,none,0,7,2009,WD ,153000
20,RL,70.0,8402,Pave,no_alley,Reg,Lvl,Inside,Gtl,Mitchel,Feedr,1Fam,1Story,5,5,2007,2007,Gable,VinylSd,VinylSd,TA,TA,PConc,Gd,TA,ALQ,1120.0,Ex,Y,SBrkr,1120,1,0,3,1,TA,6,0,no_garage,0.0,0.0,0,30,0,0,0,no_fence,none,0,12,2007,New,147000
70,RL,63.0,4000,Pave,no_alley,Reg,Lvl,Inside,Gtl,Crawfor,Norm,1Fam,2Story,7,8,1930,1995,Gable,Wd Sdng,Wd Sdng,TA,TA,BrkTil,Gd,TA,GLQ,531.0,TA,Y,SBrkr,1098,1,0,2,1,TA,5,1,Detchd,1.0,216.0,0,0,0,0,0,MnPrv,none,0,6,2007,WD ,148500
160,RM,32.0,3363,Pave,no_alley,Reg,Lvl,Inside,Gtl,Edwards,Norm,TwnhsE,2Story,7,5,2004,2004,Gable,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,Unf,976.0,Ex,Y,SBrkr,1708,2,0,3,1,Gd,7,0,Detchd,2.0,380.0,0,40,0,0,0,no_fence,none,0,4,2006,WD ,130000
20,RL,94.0,13615,Pave,no_alley,IR1,HLS,Corner,Mod,NridgHt,Norm,1Fam,1Story,9,5,2006,2006,Hip,MetalSd,MetalSd,Ex,TA,PConc,Ex,TA,Unf,1802.0,Ex,Y,SBrkr,1802,2,1,3,1,Ex,7,1,Attchd,3.0,843.0,158,105,0,0,0,no_fence,none,0,6,2007,WD ,372000
120,RL,43.0,3013,Pave,no_alley,Reg,Lvl,Inside,Gtl,Blmngtn,Norm,TwnhsE,1Story,7,5,2005,2005,Gable,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,GLQ,1362.0,Ex,Y,SBrkr,1506,2,0,2,1,Gd,6,1,Attchd,2.0,440.0,142,20,0,0,0,no_fence,none,0,4,2006,WD ,213490
